algoritmo,repeticao,semente,valor,iteracoes,pioras_aceitas,talhoes
subida_encosta,25,114055,14.205136,2,0,"(1,3) -> (1,6) -> (2,3) -> (2,9) -> (3,9) -> (4,4) -> (4,8) -> (4,10) -> (4,11) -> (5,9) -> (6,1) -> (9,0) -> (11,2) -> (11,3) -> (11,6)"
subida_encosta,26,114056,14.292435,1,0,"(1,2) -> (1,9) -> (2,3) -> (3,6) -> (5,2) -> (6,3) -> (6,8) -> (7,1) -> (7,2) -> (7,11) -> (8,1) -> (8,11) -> (11,1) -> (11,2) -> (11,6)"
subida_encosta,27,114057,14.172303,1,0,"(0,3) -> (1,3) -> (3,3) -> (3,6) -> (5,9) -> (6,5) -> (6,8) -> (6,9) -> (7,7) -> (7,8) -> (8,11) -> (9,10) -> (10,4) -> (11,3) -> (11,8)"
subida_encosta,28,114058,14.082952,1,0,"(0,4) -> (1,4) -> (2,0) -> (2,7) -> (4,6) -> (5,10) -> (6,11) -> (7,0) -> (8,0) -> (8,2) -> (8,6) -> (9,2) -> (9,7) -> (10,5) -> (11,9)"
subida_encosta,29,114059,13.655612,2,0,"(0,5) -> (1,4) -> (1,5) -> (1,7) -> (2,2) -> (2,5) -> (3,11) -> (4,7) -> (7,5) -> (7,7) -> (8,4) -> (9,10) -> (11,0) -> (11,1) -> (11,11)"
subida_encosta,30,114060,14.029007,1,0,"(0,6) -> (1,2) -> (2,0) -> (2,9) -> (3,11) -> (4,0) -> (4,9) -> (4,10) -> (5,2) -> (5,3) -> (5,9) -> (6,0) -> (6,8) -> (10,4) -> (11,10)"
tempera_simulada,1,114031,14.087985,1976,14,"(0,3) -> (1,1) -> (2,7) -> (3,7) -> (4,2) -> (4,3) -> (5,0) -> (6,11) -> (8,5) -> (8,6) -> (8,7) -> (9,0) -> (10,8) -> (10,11) -> (11,3)"
tempera_simulada,2,114032,13.265026,1976,16,"(0,1) -> (1,1) -> (1,6) -> (2,7) -> (4,6) -> (5,3) -> (5,9) -> (5,10) -> (6,0) -> (7,1) -> (7,11) -> (8,0) -> (10,4) -> (10,11) -> (11,3)"
tempera_simulada,3,114033,14.250471,1976,16,"(1,5) -> (2,4) -> (5,9) -> (5,11) -> (6,4) -> (7,8) -> (8,6) -> (9,7) -> (10,1) -> (10,8) -> (10,11) -> (11,5) -> (11,7) -> (11,10) -> (11,11)"
tempera_simulada,4,114034,14.157496,1976,22,"(2,0) -> (2,4) -> (4,1) -> (4,6) -> (4,9) -> (5,1) -> (5,2) -> (5,11) -> (6,0) -> (7,1) -> (8,4) -> (8,8) -> (9,3) -> (10,1) -> (11,9)"
